iter	Passed	Remaining
335	3197	6317
336	3205	6305
337	3214	6296
338	3222	6283
339	3230	6270
340	3237	6257
341	3245	6244
342	3252	6230
343	3260	6218
344	3268	6204
345	3276	6192
346	3285	6182
347	3293	6169
348	3299	6155
349	3308	6144
350	3316	6132
351	3324	6120
352	3334	6112
353	3342	6099
354	3350	6086
355	3357	6074
356	3365	6061
357	3372	6048
358	3380	6035
359	3388	6023
360	3395	6010
361	3402	5997
362	3410	5984
363	3417	5971
364	3425	5959
365	3433	5947
366	3441	5936
367	3449	5924
368	3457	5913
369	3465	5900
370	3473	5889
371	3481	5877
372	3489	5866
373	3497	5854
374	3506	5844
375	3514	5832
376	3523	5822
377	3531	5811
378	3541	5802
379	3549	5790
380	3557	5779
381	3566	5769
382	3575	5760
383	3584	5750
384	3592	5739
385	3602	5730
386	3609	5717
387	3618	5707
388	3627	5697
389	3636	5688
390	3644	5677
391	3653	5666
392	3662	5656
393	3673	5649
394	3682	5639
395	3690	5629
396	3699	5619
397	3706	5605
398	3715	5596
399	3722	5583
400	3732	5575
401	3740	5563
402	3748	5553
403	3756	5542
404	3765	5532
405	3772	5520
406	3781	5510
407	3790	5499
408	3799	5490
409	3806	5478
410	3816	5469
411	3823	5457
412	3834	5449
413	3842	5439
414	3852	5430
415	3860	5419
416	3867	5406
417	3875	5395
418	3883	5385
419	3892	5375
420	3900	5364
421	3908	5353
422	3916	5342
423	3924	5331
424	3932	5320
425	3941	5311
426	3949	5300
427	3958	5290
428	3966	5279
429	3975	5269
430	3983	5258
431	3992	5249
432	4000	5238
433	4009	5228
434	4017	5217
435	4025	5207
436	4033	5196
437	4041	5185
438	4048	5173
439	4057	5163
440	4064	5151
441	4072	5141
442	4080	5130
443	4088	5119
444	4095	5107
445	4104	5098
446	4113	5089
447	4122	5079
448	4130	5069
449	4140	5060
450	4150	5052
451	4159	5042
452	4168	5033
453	4179	5026
454	4189	5018
455	4197	5007
456	4206	4998
457	4214	4987
458	4223	4977
459	4232	4968
460	4241	4959
461	4248	4947
462	4257	4937
463	4264	4926
464	4272	4915
465	4279	4904
466	4288	4894
467	4296	4883
468	4304	4873
469	4313	4864
470	4323	4855
471	4334	4848
472	4343	4839
473	4354	4831
474	4362	4821
475	4370	4811
476	4377	4800
477	4385	4789
478	4392	4778
479	4401	4768
480	4408	4757
481	4416	4746
482	4424	4735
483	4433	4726
484	4441	4715
485	4449	4705
486	4461	4699
487	4474	4694
488	4483	4685
489	4492	4676
490	4500	4666
491	4510	4657
492	4520	4648
493	4528	4638
494	4536	4628
495	4545	4618
496	4554	4609
497	4564	4601
498	4575	4593
499	4585	4585
500	4595	4577
501	4605	4569
502	4617	4562
503	4627	4554
504	4635	4543
505	4647	4536
506	4656	4528
507	4667	4520
508	4679	4514
509	4688	4504
510	4698	4496
511	4710	4489
512	4719	4480
513	4730	4473
514	4742	4466
515	4750	4456
516	4762	4448
517	4775	4443
518	4786	4435
519	4795	4426
520	4807	4420
521	4816	4410
522	4829	4404
523	4842	4399
524	4857	4394
525	4866	4385
526	4877	4378
527	4890	4372
528	4905	4367
529	4916	4360
530	4926	4350
531	4938	4344
532	4952	4338
533	4962	4330
534	4973	4323
535	4988	4318
536	5002	4313
537	5012	4304
538	5023	4296
539	5034	4288
540	5045	4280
541	5054	4270
542	5065	4263
543	5075	4254
544	5084	4244
545	5094	4235
546	5103	4226
547	5114	4218
548	5126	4211
549	5138	4204
550	5148	4195
551	5158	4186
552	5167	4176
553	5176	4167
554	5185	4157
555	5194	4148
556	5203	4138
557	5210	4127
558	5219	4117
559	5227	4107
560	5235	4097
561	5243	4086
562	5252	4076
563	5259	4066
564	5267	4055
565	5276	4045
566	5283	4035
567	5293	4025
568	5302	4016
569	5309	4005
570	5318	3996
571	5326	3985
572	5334	3975
573	5342	3964
574	5350	3954
575	5359	3945
576	5367	3935
577	5375	3924
578	5383	3914
579	5390	3903
580	5399	3893
581	5407	3883
582	5416	3874
583	5424	3863
584	5432	3853
585	5439	3843
586	5447	3832
587	5455	3822
588	5463	3812
589	5470	3801
590	5478	3791
591	5485	3780
592	5492	3769
593	5502	3760
594	5511	3751
595	5521	3742
596	5529	3732
597	5538	3723
598	5549	3714
599	5559	3706
600	5569	3697
601	5578	3688
602	5587	3678
603	5598	3670
604	5608	3661
605	5619	3653
606	5631	3645
607	5680	3662
608	5692	3654
609	5701	3645
610	5720	3642
611	5730	3633
612	5739	3623
613	5747	3613
614	5754	3602
615	5762	3592
616	5770	3581
617	5778	3571
618	5785	3561
619	5793	3550
620	5800	3540
621	5807	3529
622	5815	3519
623	5825	3510
624	5832	3499
625	5840	3489
626	5848	3478
627	5856	3468
628	5863	3458
629	5872	3449
630	5880	3439
631	5889	3429
632	5897	3419
633	5904	3408
634	5911	3398
635	5919	3388
636	5927	3377
637	5935	3367
638	5942	3357
639	5949	3346
640	5957	3336
641	5965	3326
642	5973	3316
643	5982	3306
644	5990	3297
645	5999	3287
646	6006	3277
647	6015	3267
648	6023	3257
649	6032	3248
650	6039	3237
651	6047	3228
652	6055	3217
653	6062	3207
654	6070	3197
655	6077	3186
656	6085	3176
657	6092	3166
658	6100	3156
659	6108	3146
660	6117	3137
661	6124	3127
662	6132	3117
663	6140	3107
664	6149	3097
665	6156	3087
666	6164	3077
667	6171	3067
668	6179	3057
669	6187	3047
670	6195	3037
671	6202	3027
672	6211	3017
673	6218	3007
674	6227	2998
675	6235	2988
676	6247	2980
677	6256	2971
678	6267	2963
679	6277	2954
680	6286	2944
681	6296	2936
682	6305	2926
683	6317	2918
684	6329	2910
685	6341	2902
686	6351	2893
687	6361	2884
688	6370	2875
689	6382	2867
690	6393	2858
691	6401	2849
692	6413	2841
693	6421	2831
694	6429	2821
695	6438	2812
696	6447	2803
697	6460	2795
698	6471	2786
699	6479	2777
700	6489	2768
701	6498	2758
702	6507	2749
703	6516	2740
704	6526	2730
705	6536	2721
706	6545	2712
707	6553	2702
708	6561	2693
709	6570	2683
710	6577	2673
711	6586	2664
712	6594	2654
713	6602	2644
714	6610	2634
715	6619	2625
716	6627	2615
717	6636	2606
718	6645	2597
719	6666	2592
720	6677	2583
721	6688	2575
722	6699	2566
723	6710	2558
724	6721	2549
725	6731	2540
726	6739	2530
727	6749	2521
728	6757	2512
729	6767	2503
730	6775	2493
731	6784	2483
732	6792	2474
733	6800	2464
734	6807	2454
735	6829	2449
736	6838	2440
737	6849	2431
738	6859	2422
739	6868	2413
740	6876	2403
741	6885	2394
742	6895	2385
743	6903	2375
744	6912	2366
745	6919	2356
746	6927	2346
747	6935	2336
748	6943	2326
749	6954	2318
750	6962	2308
751	6970	2298
752	6979	2289
753	6988	2279
754	6996	2270
755	7003	2260
756	7011	2250
757	7020	2241
758	7029	2232
759	7038	2222
760	7053	2215
761	7062	2205
762	7071	2196
763	7081	2187
764	7090	2178
765	7098	2168
766	7107	2159
767	7115	2149
768	7125	2140
769	7134	2131
770	7142	2121
771	7150	2111
772	7158	2102
773	7165	2092
774	7173	2082
775	7181	2073
776	7190	2063
777	7200	2054
778	7209	2045
779	7218	2036
780	7226	2026
781	7235	2016
782	7243	2007
783	7251	1997
784	7262	1989
785	7270	1979
786	7280	1970
787	7290	1961
788	7300	1952
789	7308	1942
790	7318	1933
791	7326	1924
792	7336	1914
793	7345	1905
794	7354	1896
795	7363	1887
796	7373	1878
797	7382	1868
798	7393	1859
799	7403	1850
800	7413	1841
801	7422	1832
802	7432	1823
803	7441	1814
804	7450	1804
805	7459	1795
806	7468	1786
807	7480	1777
808	7490	1768
809	7499	1759
810	7509	1749
811	7517	1740
812	7526	1731
813	7535	1721
814	7546	1713
815	7556	1703
816	7566	1694
817	7576	1685
818	7585	1676
819	7593	1666
820	7604	1657
821	7616	1649
822	7626	1640
823	7637	1631
824	7646	1622
825	7658	1613
826	7669	1604
827	7681	1595
828	7695	1587
829	7711	1579
830	7725	1571
831	7740	1563
832	7753	1554
833	7768	1546
834	7780	1537
835	7802	1530
836	7817	1522
837	7830	1513
838	7844	1505
839	7857	1496
840	7871	1488
841	7884	1479
842	7895	1470
843	7909	1461
844	7921	1453
845	7933	1444
846	7943	1434
847	7955	1425
848	7965	1416
849	7975	1407
850	7987	1398
851	7999	1389
852	8011	1380
853	8022	1371
854	8034	1362
855	8046	1353
856	8058	1344
857	8071	1335
858	8082	1326
859	8094	1317
860	8110	1309
861	8123	1300
862	8138	1291
863	8149	1282
864	8160	1273
865	8172	1264
866	8182	1255
867	8191	1245
868	8202	1236
869	8212	1227
870	8222	1217
871	8231	1208
872	8243	1199
873	8258	1190
874	8273	1181
875	8292	1173
876	8322	1167
877	8340	1158
878	8357	1150
879	8379	1142
880	8395	1133
881	8417	1126
882	8436	1117
883	8461	1110
884	8483	1102
885	8503	1094
886	8518	1085
887	8531	1076
888	8543	1066
889	8558	1057
890	8569	1048
891	8579	1038
892	8590	1029
893	8600	1019
894	8610	1010
895	8619	1000
896	8630	990
897	8639	981
898	8652	972
899	8664	962
900	8675	953
901	8685	943
902	8696	934
903	8708	924
904	8720	915
905	8733	906
906	8744	896
907	8758	887
908	8767	877
909	8778	868
910	8790	858
911	8801	849
912	8810	839
913	8820	829
914	8832	820
915	8843	810
916	8856	801
917	8867	792
918	8877	782
919	8888	772
920	8898	763
921	8907	753
922	8917	743
923	8927	734
924	8940	724
925	8951	715
926	8961	705
927	8972	696
928	8986	686
929	8997	677
930	9006	667
931	9015	657
932	9025	648
933	9035	638
934	9046	628
935	9056	619
936	9064	609
937	9075	599
938	9085	590
939	9095	580
940	9107	571
941	9118	561
942	9130	551
943	9139	542
944	9151	532
945	9161	522
946	9170	513
947	9182	503
948	9192	493
949	9201	484
950	9212	474
951	9222	465
952	9232	455
953	9242	445
954	9253	436
955	9268	426
956	9298	417
957	9316	408
958	9327	398
959	9339	389
960	9353	379
961	9372	370
962	9386	360
963	9398	350
964	9419	341
965	9435	332
966	9455	322
967	9467	312
968	9479	303
969	9491	293
970	9502	283
971	9514	274
972	9527	264
973	9539	254
974	9551	244
975	9563	235
976	9575	225
977	9588	215
978	9599	205
979	9647	196
980	9666	187
981	9678	177
982	9692	167
983	9702	157
984	9711	147
985	9721	138
986	9731	128
987	9742	118
988	9752	108
989	9763	98
990	9774	88
991	9785	78
992	9795	69
993	9807	59
994	9818	49
995	9826	39
996	9835	29
997	9849	19
998	9860	9
999	9873	0
