iter	MultiClass
0	0.9204900879
1	0.7851121095
2	0.6786500977
3	0.5914978037
4	0.5188140199
5	0.4575337465
6	0.4055058096
7	0.3606921613
8	0.3215557324
9	0.287546719
10	0.2577543895
11	0.2314525103
12	0.2080397796
13	0.1872776076
14	0.168753663
15	0.1522459239
16	0.137611294
17	0.1244412007
18	0.112540707
19	0.1018721765
20	0.09230575999
21	0.08368625065
22	0.07594926353
23	0.0689457784
24	0.06260050143
25	0.05685782089
26	0.05178651685
27	0.04708203864
28	0.04293868145
29	0.03902855268
30	0.03551671553
31	0.0323664003
32	0.02951902598
33	0.02687123109
34	0.02447365213
35	0.02234124028
36	0.02038615426
37	0.01862985757
38	0.01702915167
39	0.01555490023
40	0.01419498954
41	0.01296717749
42	0.01197584488
43	0.01098169879
44	0.01001628888
45	0.009211498385
46	0.008479357047
47	0.007769642469
48	0.007114655327
49	0.006509499641
50	0.005993891569
51	0.005490447905
52	0.005048771043
53	0.004623460579
54	0.004226432681
55	0.00389210971
56	0.003577387711
57	0.003312793292
58	0.003056937757
59	0.002835286598
60	0.00262774304
61	0.002448189714
62	0.002273839523
63	0.0021094205
64	0.001945283054
65	0.001838738655
66	0.001710891391
67	0.001619672058
68	0.001527578408
69	0.001421495451
70	0.001346363965
71	0.001256132826
72	0.001189956908
73	0.001106285587
74	0.001043275595
75	0.0009789190052
76	0.0009173139371
77	0.0008679185161
78	0.0008266085525
79	0.0007888775676
80	0.0007479907021
81	0.0007144356071
82	0.0006819553809
83	0.0006456709877
84	0.000614834892
85	0.000584049897
86	0.0005551009154
87	0.0005315441909
88	0.0005119296889
89	0.0004881330816
90	0.0004660985506
91	0.000445772209
92	0.0004266745458
93	0.0004124068845
94	0.0003955953963
95	0.0003799322208
96	0.0003650730709
97	0.0003513837109
98	0.0003400947836
99	0.0003279454574
100	0.0003165231535
101	0.0003057614245
102	0.000295614778
103	0.0002860977349
104	0.000277119118
105	0.0002685864125
106	0.0002605960518
107	0.0002529950981
108	0.0002458265272
109	0.000239012075
110	0.0002325410702
111	0.000226382712
112	0.0002205324862
113	0.0002149548006
114	0.000209630453
115	0.0002045644901
116	0.0001997301365
117	0.0001951008797
118	0.0001906893591
119	0.0001864596552
120	0.0001824137743
121	0.0001785255487
122	0.0001748109417
123	0.0001712366885
124	0.0001678078174
125	0.0001645037345
126	0.0001613285715
127	0.0001582646668
128	0.0001553212622
129	0.0001524818012
130	0.0001497439706
131	0.0001471057374
132	0.0001445562012
133	0.000142094518
134	0.0001397054879
135	0.0001374047188
136	0.0001351793991
137	0.0001330176057
138	0.0001309363503
139	0.0001289165888
140	0.0001269583596
141	0.0001250601906
142	0.0001232182988
143	0.0001214226843
144	0.0001196870664
145	0.0001179942191
146	0.0001163496163
147	0.0001147577373
148	0.0001132096788
149	0.0001117040336
150	0.0001102390055
151	0.0001088122482
152	0.0001074229668
153	0.0001060696053
154	0.0001047512049
155	0.0001034592189
156	0.0001021995592
157	0.0001009771015
158	9.97783281e-05
159	9.860844051e-05
160	9.74667008e-05
161	9.554083131e-05
162	9.447542908e-05
163	9.342877796e-05
164	9.240567818e-05
165	9.140542489e-05
166	9.042737844e-05
167	8.947058325e-05
168	8.826784572e-05
169	8.704928442e-05
170	8.616848633e-05
171	8.530600921e-05
172	8.445674313e-05
173	8.299226011e-05
174	8.218959608e-05
175	8.140705509e-05
176	8.046135075e-05
177	7.912276457e-05
178	7.839500712e-05
179	7.768486483e-05
180	7.64436429e-05
181	7.524118276e-05
182	7.407575837e-05
183	7.344035324e-05
184	7.232933706e-05
185	7.126445392e-05
186	7.021773065e-05
187	6.919454653e-05
188	6.82073429e-05
189	6.724554207e-05
190	6.631177124e-05
191	6.540486794e-05
192	6.452151294e-05
193	6.366383114e-05
194	6.282800832e-05
195	6.200761522e-05
196	6.146748996e-05
197	6.068627461e-05
198	5.99269333e-05
199	5.91874099e-05
200	5.846542855e-05
201	5.776114504e-05
202	5.707390337e-05
203	5.640119554e-05
204	5.603995423e-05
205	5.539277519e-05
206	5.476136124e-05
207	5.413918699e-05
208	5.353642412e-05
209	5.306112574e-05
210	5.26436084e-05
211	5.20689752e-05
212	5.166797647e-05
213	5.127394108e-05
214	5.073393175e-05
215	5.020080984e-05
216	4.967926615e-05
217	4.917296486e-05
218	4.867299731e-05
219	4.818795914e-05
220	4.771228225e-05
221	4.724221716e-05
222	4.69309643e-05
223	4.64800208e-05
224	4.603462399e-05
225	4.572472798e-05
226	4.530346074e-05
227	4.488424313e-05
228	4.447172824e-05
229	4.406821127e-05
230	4.367221283e-05
231	4.328021441e-05
232	4.289544912e-05
233	4.264416933e-05
234	4.227095429e-05
235	4.196655525e-05
236	4.160849862e-05
237	4.1255641e-05
238	4.091002458e-05
239	4.057038311e-05
240	4.0234133e-05
241	3.990365392e-05
242	3.958109526e-05
243	3.935494513e-05
244	3.904147752e-05
245	3.87331778e-05
246	3.842785799e-05
